schema_version,catalog,run_index,run_seed,target_index,abort_ordinal,status,dv_mag_m_per_s,dv_second_burn_m_per_s,coast_min_range_m,bounded_min_range_m,clearance_m,keep_out_radius_m,clear_margin_m
1.1,SL-16 / Zenit-2 second stage,77,13512968684566167183,2,2,Clean,0.065649,0.000000,322.7106,322.7106,122.7106,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,77,13512968684566167183,4,3,Clean,0.086161,0.000000,383.6733,383.6731,183.6733,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,80,13074292588824274329,0,1,Clean,0.076576,0.000000,380.1877,380.1877,180.1877,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,80,13074292588824274329,4,2,Clean,0.062270,0.000000,365.4077,365.4075,165.4077,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,81,7864597222031823188,0,1,BoundedClearing,0.148509,0.000000,220.0053,220.0053,20.0053,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,81,7864597222031823188,4,2,Clean,0.016278,0.000000,381.6636,381.6635,181.6636,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,82,12300583177117505883,2,1,Clean,0.092020,0.000000,261.3309,261.3307,61.3309,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,83,2477134077939330272,0,1,Clean,0.050537,0.000000,352.6131,352.6130,152.6131,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,83,2477134077939330272,2,2,Clean,0.089560,0.000000,310.4223,310.4222,110.4223,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,83,2477134077939330272,3,3,Clean,0.062827,0.000000,328.8519,328.8518,128.8519,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,85,2065512311143520054,2,1,Clean,0.091789,0.000000,341.3877,341.3876,141.3877,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,86,5487207542905606544,0,1,Clean,0.072110,0.000000,291.2329,291.2328,91.2329,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,86,5487207542905606544,1,2,BoundedClearing,0.209870,0.000000,220.0429,220.0423,20.0429,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,86,5487207542905606544,3,3,Clean,0.060804,0.000000,325.1247,325.1246,125.1247,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,86,5487207542905606544,4,4,Clean,0.024382,0.000000,290.3252,290.3252,90.3252,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,87,11944056260078972491,0,1,Clean,0.055394,0.000000,366.1338,366.1336,166.1338,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,87,11944056260078972491,2,2,Clean,0.061913,0.000000,354.4164,354.4164,154.4164,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,89,13878170105977336037,2,1,Clean,0.035328,0.000000,361.4733,361.4733,161.4733,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,93,14514128259078537273,3,1,Clean,0.027737,0.000000,367.1965,367.1965,167.1965,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,93,14514128259078537273,4,2,Clean,0.067022,0.000000,374.9437,374.9436,174.9437,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,99,13257898720493009632,2,1,Clean,0.121933,0.000000,272.7257,272.7254,72.7257,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,102,1667672962936665593,2,1,Clean,0.059811,0.000000,365.3283,365.3283,165.3283,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,105,12625334112616536214,0,1,Clean,0.052610,0.000000,387.4714,387.4712,187.4714,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,105,12625334112616536214,2,2,Clean,0.077460,0.000000,305.7809,305.7808,105.7809,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,106,8058031312347800671,0,1,Clean,0.025560,0.000000,388.5449,388.5449,188.5449,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,111,949802968727291250,1,1,Clean,0.068202,0.000000,317.9853,317.9853,117.9853,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,111,949802968727291250,3,2,Clean,0.065913,0.000000,358.0383,358.0382,158.0383,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,112,4869064356932913602,2,1,Clean,0.099759,0.000000,348.4380,348.4378,148.4380,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,112,4869064356932913602,3,2,BoundedClearing,0.212011,0.000000,220.0102,220.0093,20.0102,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,113,3547233173118790054,2,1,Clean,0.116186,0.000000,358.5186,358.5186,158.5186,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,114,8156631183730789862,1,1,Clean,0.062803,0.000000,330.7719,330.7717,130.7719,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,115,7705783115901527847,0,1,Clean,0.030598,0.000000,362.3759,362.3758,162.3759,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,115,7705783115901527847,3,2,Clean,0.013820,0.000000,558.6564,558.6564,358.6564,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,117,7673873074129787569,3,1,Clean,0.102212,0.000000,233.0137,233.0136,33.0137,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,124,4145096316383323169,2,1,Clean,0.063262,0.000000,331.7251,331.7250,131.7251,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,127,12116939121646869343,0,1,Clean,0.017636,0.000000,366.6875,366.6875,166.6875,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,129,8171985631827176249,2,1,Clean,0.044788,0.000000,317.2852,317.2851,117.2852,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,132,6869194363286658211,0,1,Clean,0.025484,0.000000,309.8148,309.8148,109.8148,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,132,6869194363286658211,1,2,Clean,0.128814,0.000000,279.4556,279.4551,79.4556,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,134,17994738300078857970,0,1,Clean,0.115061,0.000000,299.8527,299.8524,99.8527,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,135,7670221388760676414,0,1,Clean,0.103590,0.000000,339.7600,339.7597,139.7600,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,137,13987724968575121178,1,1,Clean,0.114623,0.000000,297.6005,297.6002,97.6005,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,139,17841329724785627149,2,1,Clean,0.049280,0.000000,442.7101,442.7101,242.7101,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,143,18253132680232672755,1,1,Clean,0.145466,0.000000,222.0865,222.0860,22.0865,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,143,18253132680232672755,3,2,Clean,0.038598,0.000000,414.9031,414.9031,214.9031,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,144,4776348122659843257,1,1,Clean,0.096126,0.000000,342.4829,342.4828,142.4829,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,146,18198490371044536194,0,1,Clean,0.070477,0.000000,271.9088,271.9087,71.9088,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,149,13092157067828191713,1,1,Clean,0.044161,0.000000,312.6241,312.6240,112.6241,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,151,10662404792466560696,2,1,Clean,0.122260,0.000000,242.5714,242.5712,42.5714,200.0,20.0
1.1,SL-16 / Zenit-2 second stage,155,3384152098910315570,1,1,Clean,0.094571,0.000000,375.6401,375.6400,175.6401,200.0,20.0
